epoch,from,address,tags,args,hex
1790401634.469,127.0.0.1:8000,/float-1,",f",[0.004583],2f666c6f61742d31000000002c6600003b962e40
1790401634.481,127.0.0.1:8000,/float-1,",f",[0.004621],2f666c6f61742d31000000002c6600003b976bfd
1790401634.501,127.0.0.1:8000,/float-1,",f",[0.004659],2f666c6f61742d31000000002c6600003b98a9b9
1790401634.512,127.0.0.1:8000,/float-1,",f",[0.004697],2f666c6f61742d31000000002c6600003b99e776
1790401634.533,127.0.0.1:8000,/float-1,",f",[0.004735],2f666c6f61742d31000000002c6600003b9b2533
1790401634.555,127.0.0.1:8000,/float-1,",f",[0.004773],2f666c6f61742d31000000002c6600003b9c62f0
1790401634.566,127.0.0.1:8000,/float-1,",f",[0.00481],2f666c6f61742d31000000002c6600003b9da0ad
1790401634.587,127.0.0.1:8000,/float-1,",f",[0.004848],2f666c6f61742d31000000002c6600003b9ede69
1790401634.597,127.0.0.1:8000,/float-1,",f",[0.004886],2f666c6f61742d31000000002c6600003ba01c26
1790401634.619,127.0.0.1:8000,/float-1,",f",[0.004924],2f666c6f61742d31000000002c6600003ba159e3
1790401634.630,127.0.0.1:8000,/float-1,",f",[0.004962],2f666c6f61742d31000000002c6600003ba297a0
1790401634.651,127.0.0.1:8000,/float-1,",f",[0.005],2f666c6f61742d31000000002c6600003ba3d55d
1790401634.661,127.0.0.1:8000,/float-1,",f",[0.005038],2f666c6f61742d31000000002c6600003ba5131a
1790401634.683,127.0.0.1:8000,/float-1,",f",[0.005076],2f666c6f61742d31000000002c6600003ba650d6
1790401634.693,127.0.0.1:8000,/float-1,",f",[0.005113],2f666c6f61742d31000000002c6600003ba78e93
1790401634.715,127.0.0.1:8000,/float-1,",f",[0.005151],2f666c6f61742d31000000002c6600003ba8cc50
1790401634.737,127.0.0.1:8000,/float-1,",f",[0.005189],2f666c6f61742d31000000002c6600003baa0a0d
1790401634.747,127.0.0.1:8000,/float-1,",f",[0.005227],2f666c6f61742d31000000002c6600003bab47ca
1790401634.768,127.0.0.1:8000,/float-1,",f",[0.005265],2f666c6f61742d31000000002c6600003bac8587
1790401634.779,127.0.0.1:8000,/float-1,",f",[0.005303],2f666c6f61742d31000000002c6600003badc343
1790401634.800,127.0.0.1:8000,/float-1,",f",[0.005341],2f666c6f61742d31000000002c6600003baf0100
1790401634.821,127.0.0.1:8000,/float-1,",f",[0.005379],2f666c6f61742d31000000002c6600003bb03ebd
1790401634.832,127.0.0.1:8000,/float-1,",f",[0.005416],2f666c6f61742d31000000002c6600003bb17c7a
1790401634.854,127.0.0.1:8000,/float-1,",f",[0.005454],2f666c6f61742d31000000002c6600003bb2ba37
1790401634.864,127.0.0.1:8000,/float-1,",f",[0.005492],2f666c6f61742d31000000002c6600003bb3f7f3
1790401634.885,127.0.0.1:8000,/float-1,",f",[0.00553],2f666c6f61742d31000000002c6600003bb535b0
1790401634.895,127.0.0.1:8000,/float-1,",f",[0.005568],2f666c6f61742d31000000002c6600003bb6736d
1790401634.917,127.0.0.1:8000,/float-1,",f",[0.005606],2f666c6f61742d31000000002c6600003bb7b12a
1790401634.927,127.0.0.1:8000,/float-1,",f",[0.005644],2f666c6f61742d31000000002c6600003bb8eee7
1790401634.950,127.0.0.1:8000,/float-1,",f",[0.005682],2f666c6f61742d31000000002c6600003bba2ca4
1790401634.971,127.0.0.1:8000,/float-1,",f",[0.005719],2f666c6f61742d31000000002c6600003bbb6a60
1790401634.982,127.0.0.1:8000,/float-1,",f",[0.005757],2f666c6f61742d31000000002c6600003bbca81d
1790401635.003,127.0.0.1:8000,/float-1,",f",[0.005795],2f666c6f61742d31000000002c6600003bbde5da
1790401635.013,127.0.0.1:8000,/float-1,",f",[0.005833],2f666c6f61742d31000000002c6600003bbf2397
1790401635.034,127.0.0.1:8000,/float-1,",f",[0.005871],2f666c6f61742d31000000002c6600003bc06154
1790401635.044,127.0.0.1:8000,/float-1,",f",[0.005909],2f666c6f61742d31000000002c6600003bc19f11
1790401635.066,127.0.0.1:8000,/float-1,",f",[0.005947],2f666c6f61742d31000000002c6600003bc2dccd
1790401635.086,127.0.0.1:8000,/float-1,",f",[0.005985],2f666c6f61742d31000000002c6600003bc41a8a
1790401635.097,127.0.0.1:8000,/float-1,",f",[0.006022],2f666c6f61742d31000000002c6600003bc55847
1790401635.119,127.0.0.1:8000,/float-1,",f",[0.00606],2f666c6f61742d31000000002c6600003bc69604
1790401635.130,127.0.0.1:8000,/float-1,",f",[0.006098],2f666c6f61742d31000000002c6600003bc7d3c1
1790401635.152,127.0.0.1:8000,/float-1,",f",[0.006136],2f666c6f61742d31000000002c6600003bc9117d
1790401635.163,127.0.0.1:8000,/float-1,",f",[0.006174],2f666c6f61742d31000000002c6600003bca4f3a
